date,type,title,geo
2020,Workshop,Urban data-driven innovation,"Daffodil International University, Bangladesh"
2020,Seminar,Zeit & Raum,"HafenCity University Hamburg"
2020,Seminar,Open GIS,"HafenCity University Hamburg"
2019,Seminar,Summer School - Data-driven Innovation,"CityLAB Berlin"
2019,Seminar,Think like a Machine — Data-Driven Design,"HafenCity University Hamburg"
2019,Seminar,Geodatenmanagement,"HafenCity University Hamburg"
2019,Workshop,Introduction to Spatial Data Vis,"Office for Statistics Berlin-Brandenburg"
2018,Seminar,Think like a Machine — Data-Driven Design,"Potsdam University of Applied Sciences"
2018,Workshop,Prototyping Voice Interfaces,"Retune Festival"
2018,Seminar,Digital Literacy,"Potsdam University of Applied Sciences"
2018,Workshop,Introduction to Spatial Data Vis,"Office for Statistics Berlin-Brandenburg"
2018,Seminar,Smart City Interfaces,"Potsdam University of Applied Sciences"
2017,Workshop,Intoduction to spatial data visualization,"Taipei Tech, University, Taiwan"
2016,Workshop,Introduction to Data-Analysis and Visualization,"DIGIS, Berlin"
2016,Workshop,Introduction to web-mapping,"EULER - Switch on Mehringplatz, Berlin"
2016,Seminar,Smart Citizens / Citizen Science,"Potsdam University of Applied Sciences &amp; Technical University Berlin"
2016,Workshop,Empowering through mapping,"HKW, Civil Society 4.0, Berlin"
2016,Seminar,Web-based data visualization,"Potsdam University"
2015,Workshop,Data-driven Visualization,"Visible Cities Prototyping Lab, Berlin"
2015,Seminar,Exploring new interaction Paradigms. Interactive Tabletops &amp; Multi-Surface Environments,"Potsdam University of Applied Sciences"
2015,Workshop,Introduction to web-mapping,"Potsdam University"
2014,Workshop,Data Visualization for Journalists,"M100, Potsdam"
2014,Seminar,Google Maps and beyond: Karten für Desktop, Mobile and Print,"Potsdam University of Applied Sciences"
2014,Seminar,Data Visualization - Communicating Scientific Insights,"Potsdam University of Applied Sciences"
2013,Seminar,Data Vis Challenges,"Potsdam University of Applied Sciences"
2013,Seminar,Visual Information Exploration,"Potsdam University of Applied Sciences"
2012,Seminar,Map Interfaces,"Potsdam University of Applied Sciences"
2011,Seminar,Data Visualization (Processing),"Trier University of Applied Sciences"
2010,Workshop,Beyond Processing: Into Space,"Potsdam University of Applied Sciences"
2010,Seminar,Light &amp; Social Media,"Trier University of Applied Sciences"
2010,Seminar,Generative Design (Processing),"Trier University of Applied Sciences"
2010,Seminar,Introduction to Processing,"Trier University of Applied Sciences"
2009,Workshop,Interactive Systems (Flash),"Düsseldorf University of Applied Sciences"